column,Row,base_ad,layout
7,7,5단통,"[[0,0,1,1],[0,1,1,6],[1,1,6,7]]"
7,7,5단통,"[[0,0,1,2],[0,1,2,5],[1,1,6,7]]"
7,7,5단통,"[[0,0,2,3],[0,4,2,4],[2,2,5,7]]"
7,7,5단통,"[[0,0,2,3],[2,0,2,3],[4.0.3.7].[0.4.4.4]]"
7,7,5단통,"[[0,0,2,7],[0,2,5,7]]"
7,7,5단통,"[[0,0,2,7],[0,2,2,7],[0,4,3,7]]"
6,7,5단통,"[[0,0,1,1],[0,1,1,6],[1,0,6,7]]"
6,7,5단통,"[[0,0,1,2],[0,0,1,5],[1,1,5,7]]"
6,7,5단통,"[[0,0,2,3],[0,3,2,4],[2,0,4,7]]"
6,7,5단통,"[[0,0,2,3],[0,2,2,3],[0,4,2,7]]"
6,7,5단통,"[[0,0,2,7],[0,2,4,7]]"
6,7,5단통,"[[0,0,2,7],[0,2,2,7],[0,4,2,7]]"
6,7,5단통,"[[0,0,3,7],[0,3,3,7]]"
